@@,item,name,party
+++,,Abdala Ossifo Ibraimo,Q1425821
+++,,Abel Ernesto Safrão,Q504564
+++,,Abel Gabriel Mabunda,Q1425821
+++,,Abel Vicente Sana Sana,Q1425821
+++,,Abilio Adelaide António,Q504564
+++,,Achiro Amisse,Q1425821
+++,,Adelaide Anchua Amurane,Q504564
+++,,Adelina Rosa Bernardo,Q504564
+++,,Adriano Tesoura Passanduca,Q504564
+++,,Afonso Francisco Massingue,Q504564
+++,,Afonso Paulo Salimo,Q504564
+++,,Agostinho Severo Tomé,Q504564
+++,,Agostinho Ussene,Q504564
+++,,Agostinho Ussore,Q1425821
+++,,Agostinho Zacarias Vuma,Q504564
+++,,Ahmed Abdul Gani,Q504564
+++,,Aida Luis Garife Massangaissa,Q1425821
+++,,Aida Ussene,Q504564
+++,,Albertina Vicente Pelembe,Q504564
+++,,Alberto Conforme Alberto Tigre,Q504564
+++,,Alberto Joaquim Chipande,Q504564
+++,,Alberto Jumulate,Q504564
+++,,Albina Tomás Gulele,Q504564
+++,,Albino Ducuza Muchanga,Q1425821
+++,,Alexandre Meque Vicente,Q504564
+++,,Alfredo Alide Sualei,Q504564
+++,,Alfredo Maria de São Bernardo Cepeda Gamito,Q504564
+++,,Alicora Intutunha,Q1425821
+++,,Alige Derque Mussulmade de Morais,Q504564
+++,,Alzira Frederico Pereira,Q504564
+++,,Alzira Frederico Pereira,Q1425821
+++,,Alzira Frederico Pereira,Q1425821
+++,,Amândio Cláudio Absalão Siueia,Q504564
+++,,Amélia Narciso Matos Sumbana,Q504564
+++,,Ana Antónia Henrique Dimitri,Q504564
+++,,Ana Celestina Meneses Sousa,Q1425821
+++,,Ana Madalena da Silva Charomar,Q504564
+++,,Ana Maria Rafael,Q504564
+++,,Ana Rita Geremias Sithole,Q504564
+++,,Anacleta Torres Caliano Meque,Q504564
+++,,Anatércia de Fátima Ismael Adriano Aly,Q504564
+++,,Angelina Cândida N’chumali,Q504564
+++,,Angelina Ernesto Namoeto,Q504564
+++,,Anselmo Ernesto Victor,Q1425821
+++,,Anselmo Jacinto Eduardo,Q1425821
+++,,António Augusto Ed Namburete,Q1425821
+++,,António Hama Thay,Q504564
+++,,António Jorge Franguolis,Q504564
+++,,António José Amélia,Q504564
+++,,António Pedro Muchanga,Q1425821
+++,,António Razão Miromo,Q504564
+++,,António Rosário Niquice,Q504564
+++,,António Severino Timba,Q1425821
+++,,Armando Alifa,Q504564
+++,,Armando Maria Pereira Constantino Júlio,Q504564
+++,,Arminda Jaime Vombe,Q504564
+++,,Armindo João Milaco,Q1425821
+++,,Arnaldo Obed Muchabje Quibe,Q504564
+++,,Artur Xavier Vilanculos,Q1425821
+++,,Assane Ali,Q1425821
+++,,Augusto Jonas Navando,Q504564
+++,,Augusto Mateus,Q1425821
+++,,Aurora Mussane Morrime,Q504564
+++,,Azevedo Evaristo Mussibora,Q504564
+++,,Açucena Henrique da Costa Xavier Duarte,Q504564
+++,,Beatriz Mário Chaguala Gama Ajuda,Q504564
+++,,Bendita Francisco Nchumali,Q504564
+++,,Bernardo Júlio Macamo,Q504564
+++,,Bonifácio Gruveta Massamba,Q504564
+++,,Bonifácio João Nicasse,Q1425821
+++,,Brito Caetano,Q1425821
+++,,Caifadine Paulo Manasse,Q504564
+++,,Carlos Jorge Siliya,Q504564
+++,,Carlos Manuel,Q1425821
+++,,Carlos Moreira Vasco,Q504564
+++,,Carolina Halima Chemane,Q504564
+++,,Casimiro Pedro Sacadura Haute,Q504564
+++,,Castro Qualquer António Ntemassaka,Q504564
+++,,Catarina Paiva Muacamissa,Q504564
+++,,Celestino Neúma,Q1425821
+++,,Celestino Neúma,Q1425821
+++,,Cidália Manuel Chaúque,Q504564
+++,,Cipriano Severino Nimpachula,Q504564
+++,,Claudina Inácio Guimarães,Q1425821
+++,,Conceita Ernesto Xavier Sortane,Q504564
+++,,Cornélio Quivela,Q1425821
+++,,Damião José,Q504564
+++,,Daniel João Matavele,Q504564
+++,,Daniel Litsure,Q504564
+++,,Daniel Maqueia Cueteia,Q504564
+++,,Danilo Aly Teixeira,Q504564
+++,,Danilo Rui Alberto Mutumula,Q504564
+++,,David Jonas Moiana,Q1425821
+++,,Djone Dique Ncussa,Q504564
+++,,Dominga Domingos Chuva,Q1425821
+++,,Dorteia Hérculos Ambrósio,Q504564
+++,,Duarte Cassiano,Q504564
+++,,Edgar de Jesus Gonzaga C Silva,Q1425821
+++,,Edmundo Galiza Dimande Matos,Q504564
+++,,Edson da Graça Francisco Macuácua,Q504564
+++,,Eduardo Joaquim Mulémbwè,Q504564
+++,,Elisa Cipriano Silvestre,Q1425821
+++,,Elisa Júlio Salamo,Q1425821
+++,,Elisa Nicolau José de Melo,Q504564
+++,,Eliseu Jaoquim Machava,Q504564
+++,,Elsa Muzé Ussene,Q1425821
+++,,Elvira Luís Mabunda,Q504564
+++,,Ermelinda Micaela Lucas Rodolfo,Q504564
+++,,Ermósio Justo,Q504564
+++,,Ernesto Cassimuca Lipapa,Q504564
+++,,Ester Hassane Macande Peule,Q504564
+++,,Eufrásia Guerra Jordão,Q1425821
+++,,Eusébio Nanguia Nipete Mulange,Q504564
+++,,Eva Teixeira Caetano Dias,Q1425821
+++,,Fabião Pedro Sitoé,Q504564
+++,,Faustina Manuel,Q504564
+++,,Feliciano Anjo Bernardo Mata,Q504564
+++,,Fernando Calisto Jauado,Q1425821
+++,,Filipe António Primero,Q1425821
+++,,Filipe Jaime,Q504564
+++,,Filomena Nachaque,Q504564
+++,,Florêncio Francisco Alfainho,Q1425821
+++,,Francisca Domingos Tomás,Q504564
+++,,Francisco Braz Muchanga,Q504564
+++,,Francisco Domingos Paulo Machambisse,Q1425821
+++,,Francisco João José Dias,Q1425821
+++,,Francisco Maingue,Q1425821
+++,,Fátima Luís Madeira,Q504564
+++,,Graça César Machaiane Nhanala Nhaliginga,Q504564
+++,,Helena da Zinha Paulo,Q1425821
+++,,Hermenegildo Maria Cepeda Gamito,Q504564
+++,,Hermínia Carlos Nhantumbo,Q504564
+++,,Hipólito de Jesus Fernandes Xavier do Couto,Q1425821
+++,,Irene António Beira Castro,Q504564
+++,,Ireneu Joaquim Muanaco,Q1425821
+++,,Isaú Joaquim Menezes,Q504564
+++,,Ismael Jamú Mussá,Q1425821
---,Q19613993,Ivone Soares,Q1425821
+++,,Jaime Bessa Augusto Neto,Q504564
+++,,Janeiro Mariano,Q1425821
+++,,Jerónimo Agostinho,Q504564
+++,,Jerónimo Malagueta Nalia,Q1425821
+++,,Joana Anacleto Vasco,Q504564
+++,,Joana José Carvalho,Q1425821
+++,,Joaquim Mussuaho Luis M. Bicho,Q1425821
+++,,José Augusto Mazuana,Q1425821
+++,,José Carlos Rodrigues Palaço,Q1425821
+++,,José Ferreira Muivai,Q1425821
+++,,José Manteigas Gabriel,Q1425821
+++,,José Mateus Muária Katupha,Q504564
+++,,João Alexandre,Q1425821
+++,,João Carlos Colaço,Q1425821
+++,,João José Monteiro,Q1425821
+++,,João Luís,Q504564
+++,,João Macuamule,Q504564
+++,,Juliao Caixote Nembe,Q504564
+++,,Julião Munhequeia,Q1425821
+++,,Kapwepwe Saíde Chai,Q504564
+++,,Khalid Hussein Mahomed Sidat,Q1425821
+++,,Leonor Amosse Pedro,Q504564
+++,,Leopoldo Alfredo Ernesto,Q1425821
+++,,Lucia do Carmo Casimiro Lima,Q1425821
+++,,Luciano Augusto,Q504564
+++,,Luciano Filipe Governo,Q1425821
+++,,Lucinda Bela das Dores Impetule Malema,Q504564
+++,,Lucília José Manuel Nota Hama,Q504564
+++,,Luis Benedito Gouveia,Q1425821
+++,,Luis Boavida Mudivela,Q1425821
+++,,Luis Inácio,Q1425821
+++,,Luis Trinta Mecupia,Q1425821
+++,,Lurdes Daniel,Q504564
+++,,Lutero Chimbirombir Simango,Q1425821
+++,,Luís Ramos Domingos,Q504564
+++,,Luísa Chirindza,Q504564
+++,,Lídia Rita Geremias,Q504564
+++,,Lúcia Geraldo Namashulua,Q504564
+++,,Lúcia Xavier Afate,Q1425821
+++,,Maconha João,Q504564
+++,,Madalena João Francisco,Q1425821
+++,,Madalena M’bela Ambrósio,Q504564
+++,,Manecas Daniel,Q1425821
+++,,Manuel António Alculete de Araújo,Q1425821
---,Q6752965,Manuel de Araújo,
+++,,Manuel Fernandes Pereira,Q1425821
+++,,Manuel Francisco Lole,Q1425821
+++,,Manuel Jorge Tomé,Q504564
+++,,Margarida Adamugi Talapa,Q504564
+++,,Margarida Sebastião Mapanzene,Q504564
+++,,Maria Anastácia Da Costa,Q1425821
+++,,Maria Bachir,Q504564
+++,,Maria das Dores António,Q504564
+++,,Maria de Lurdes do Carmo Lobo,Q504564
+++,,Maria Ema Anchunala Cassimo,Q504564
+++,,Maria Inês Martins,Q1425821
+++,,Maria Joana João,Q1425821
+++,,Maria Jossefa Miguel,Q504564
+++,,Maria José Moreno,Q1425821
+++,,Maria Marta Mateus Fernando Zalimba,Q504564
+++,,Maria Matilde Alves Lampião Soares,Q504564
+++,,Maria Olívia Álvaro,Q504564
+++,,Maria Virgínia de Sousa Videira,Q504564
+++,,Maria Ângela Ismael Manjate Janace,Q504564
+++,,Mariano Humberto Rodrigues,Q1425821
+++,,Mateus Elias Damião F. Da Silva,Q1425821
+++,,Maurício Mateus Madebe,Q504564
+++,,Maurício Vieira Jacob,Q504564
+++,,Micas Carlos António Jafare,Q504564
+++,,Miguel Anláuè Mussa,Q504564
+++,,Milagrosa Armando Langa,Q504564
+++,,Mário Lampião Sevene,Q504564
+++,,Máximo Diogo José Dias,Q1425821
---,Q27220074,Nyeleti Mondlane,
---,Q55106039,Osfo Momad,Q1425821
+++,,Ossufo Momade,Q1425821
+++,,Palmira Eusébio Mbanze,Q504564
---,Q96195503,Paulina Mateus Nkunda,
+++,,Paulina Tsumba Nhacumbena Canhane,Q504564
+++,,Pedro Armando Alberto Vírgula,Q504564
+++,,Pedro Tesoura Chichone,Q1425821
+++,,Raimundo Joaquim Mapanzene,Q504564
+++,,Raquel Carlos José Damião,Q504564
+++,,Regina Macuácua Muchanga,Q504564
+++,,Rema Fabião,Q504564
+++,,Ricardo Pedro Filimone,Q504564
+++,,Roberto Maximiano Chitsondzo,Q504564
+++,,Rosa Isabel Maiópuè,Q504564
+++,,Rosa Mafuna Julai Sitole,Q1425821
+++,,Rosália Celestina José Lumbela,Q504564
+++,,Rosário Salimo Régulo,Q504564
+++,,Rosário Zacarias,Q504564
+++,,Rui António Chundiza,Q504564
+++,,Rui Domingos de Sousa,Q1425821
+++,,Safi Mahomed Abdul Reman Gulamo,Q504564
+++,,Saimone Muhambe Macuiana,Q1425821
+++,,Samuel Brito Simango,Q1425821
+++,,Sara Mamudo Abdula Vassanegy,Q504564
+++,,Saíbo Alberto,Q504564
+++,,Sebastião Dengo,Q504564
+++,,Sebastião dos Santos Temporário,Q1425821
+++,,Severina Tiago Banze,Q504564
+++,,Simão Bute,Q1425821
+++,,Sousa Salvador Munhaua,Q504564
+++,,Sábado Teresa Malendza,Q504564
+++,,Tiago Horácio Simba,Q504564
+++,,Tsoquisse Mulaícho Munhiwa,Q504564
+++,,Ussumane Aly Dauto,Q504564
---,Q6722501,Verónica Macamo,Q504564
+++,,Verónica Nataniel Macamo Dlovo,Q504564
+++,,Viana da Silva Magalhães,Q1425821
+++,,Vicente Zacarias Ululu,Q1425821
+++,,Xavier Aleixo Chicutirene,Q504564
+++,,Yohane Tadeu Nkeka,Q504564
+++,,Zabura Selemane,Q1425821
+++,,Zeca Castro Morgado,Q504564
+++,,Zélia da Luz Francisco Muthambe Langa,Q504564
+++,,Ângela Maria do Carmo Benesse,Q504564
+++,,Ângelo Thai,Q504564
