@@,item,name,party,area,startdate,enddate,gender
+++,"",Abacar Chande,Q504564,"","","",male
+++,"",Abdala Ossifo Ibraimo,Q1740056,"","","",male
+++,"",Abdul Gafur Mamade Hossene Issufo,Q504564,"","","",male
+++,"",Abiba Aba,Q1740056,"","","",female
+++,"",Afonso Januário Bombene,Q504564,"","","",male
+++,"",Afonso Lopes Nipero,Q504564,"","","",male
+++,"",Agostinho André Likangóne,Q504564,"","","",male
+++,"",Agostinho Cosme Manje,Q504564,"","","",male
+++,"",Agostinho Gomes Chipindula,Q504564,"","","",male
+++,"",Agostinho José Lobato,Q504564,"","","",male
+++,"",Agostinho Zacarias Vuma,Q504564,"","","",male
+++,"",Aida Maria Soares,Q504564,"","","",female
+++,"",Ainca Micusserima Chande,Q1740056,"","","",female
+++,"",Aires Bonifácio Baptista Aly,Q504564,"","","",male
+++,"",Aisácia João Chochoma,Q504564,"","","",female
+++,"",Albano Bulaunde José,Q1740056,"","","",male
+++,"",Albertina Ilda Lino,Q1740056,"","","",female
+++,"",Albertina Jocia,Q1740056,"","","",female
+++,"",Albertina Julião Matavele,Q1740056,"","","",female
+++,"",Alberto Clementino António Vaquina,Q504564,"","","",male
+++,"",Alberto Jacinto Nancuta Mtukutuku,Q504564,"","","",male
+++,Q4711973,Alberto Joaquim Chipande,Q504564,"","","",male
+++,"",Alberto Jumulate,Q504564,"","","",male
+++,"",Alcina António De Abreu,Q504564,"","","",female
+++,"",Alfredo Jame,Q1740056,"","","",male
+++,"",Alfredo Tomás Magumisse,Q1740056,"","","",male
+++,"",Alice Caetano Tomás,Q504564,"","","",female
+++,"",Almina Manuel Monteiro,Q504564,"","","",female
+++,"",Alves Jordão Zita,Q504564,"","","",male
+++,"",Amilcar José Hussein,Q504564,"","","",male
+++,"",Américo José Ubisse,Q1740056,"","","",male
+++,"",Américo Paulo Noé Muchanga,Q1740056,"","","",male
+++,"",Ana Antónia Henrique Dimitri,Q504564,"","","",female
+++,"",Ana Paula Orta Cordeiro Manhique,Q504564,"","","",female
+++,"",Ana Paula Victorino J. P. Da Graça,Q504564,"","","",female
+++,"",Ana Rita Geremias Sithole,Q504564,"","","",female
+++,"",André Joaquim Magibire,Q1740056,"","","",male
+++,"",Antónia Rufino Cara-Alegre Tembe,Q504564,"","","",female
+++,"",Antónia Simão Paulo Charre,Q504564,"","","",female
+++,"",António Augusto Eduardo Namburete,Q1740056,"","","",male
+++,"",António Hama Thai,Q504564,"","","",male
+++,"",António José Amélia,Q504564,"","","",male
+++,"",António Pedro Muchanga,Q1740056,"","","",male
+++,"",António Rosário Niquice,Q504564,"","","",male
+++,"",António Severino Timba,Q1740056,"","","",male
+++,"",António Valério Kantile,Q504564,"","","",male
+++,"",Armando Ramiro Artur,Q668181,"","","",male
+++,"",Atanásio Gomes Kulyaukila,Q504564,"","","",male
+++,"",Beatriz Mário Chaguala,Q504564,"","","",female
+++,"",Bernardino Benjamim Carneiro Cortez,Q1740056,"","","",male
+++,"",Bonifácio João Nicassa,Q1740056,"","","",male
+++,"",Buanar Muhamede,Q504564,"","","",male
+++,"",Caifadine Paulo Manasse,Q504564,"","","",male
+++,"",Carimo Freitas De Oliveira,Q504564,"","","",male
+++,"",Carlos Manuel,Q1740056,"","","",male
+++,"",Carlos Manuel Simbi,Q1740056,"","","",male
+++,"",Carlos Moreira Vasco,Q504564,"","","",male
+++,"",Carlos Samussone Maiela,Q1740056,"","","",male
+++,"",Carlos Sebastião,Q504564,"","","",male
+++,"",Carvalho Muária,Q504564,"","","",male
+++,"",Carvalho Pensando António,Q1740056,"","","",male
+++,"",Catarina Olinda Salomão Figueira,Q1740056,"","","",female
+++,"",Celmira Irene Melo Xavier,Q504564,"","","",female
+++,"",Cemilde Amélia Muchanga,Q504564,"","","",female
+++,"",Chrispen Matches,Q504564,"","","",male
+++,"",Cidália Manuel Chaúque Oliveira,Q504564,"","","",female
+++,"",Conceita Ernesto Xavier Sortane,Q504564,"","","",female
+++,"",Costa Francisco Chale,Q504564,"","","",male
+++,"",Damião José,Q504564,"","","",male
+++,"",Daniel João Matavele,Q504564,"","","",male
+++,"",Danilo Aly Teixeira,Q504564,"","","",male
+++,"",David Jonas Moiana,Q1740056,"","","",male
+++,"",Deolinda Catarina João Chochoma,Q504564,"","","",female
+++,"",Dina Ali Américo,Q504564,"","","",female
+++,"",Domingos Cintura,Q504564,"","","",male
+++,"",Domingos Gabriel Tavira,Q504564,"","","",male
+++,"",Domingos Migina Assulai,Q1740056,"","","",male
+++,"",Edmundo Galiza Dimande Matos,Q504564,"","","",male
+++,"",Edson Da Graça Francisco Macuacua,Q504564,"","","",male
+++,Q5340644,Eduardo Joaquim Mulémbwè,Q504564,"","","",male
+++,"",Eduardo João Ladria,Q1740056,"","","",male
+++,"",Eduardo Silva Nihia,Q504564,"","","",male
+++,"",Elisa Amina Amisse Timóteo,Q504564,"","","",female
+++,"",Elisa Maria Isabel Silvestre Cipriano,Q1740056,"","","",female
+++,"",Elisa Rajamo,Q1740056,"","","",female
+++,"",Emídio Benjamim Xavier,Q504564,"","","",male
+++,"",Emília Alfredo Pereira,Q504564,"","","",female
+++,"",Eneas Da Conceição Comiche,Q504564,"","","",male
+++,"",Esmeralda Aurélio Mutemba,Q504564,"","","",female
->,Q5398931,Esperança Bias->Esperança L. F. Bias,NULL->Q504564,,2015,,female
+++,"",Ester Epifánio Plaze,Q504564,"","","",female
+++,"",Eulália Lourenço Oliveira,Q1740056,"","","",female
+++,"",Eva José Mangaze,Q504564,"","","",female
+++,"",Eva Teixeira Caetano Dias,Q1740056,"","","",female
+++,"",Evaristo Tatano Sixpence,Q1740056,"","","",male
+++,"",Ezequiel João Aramane,Q668181,"","","",male
+++,"",Faruk Osman,Q504564,"","","",male
+++,"",Felizarda Clara De Castro,Q1740056,"","","",female
+++,"",Fernando Amelane,Q1740056,"","","",male
+++,"",Fernando Bismarque Ali,Q668181,"","","",male
+++,"",Fernando Jossias Matouassanga,Q1740056,"","","",male
+++,"",Fernando José Namacua,Q504564,"","","",male
+++,"",Fernando Mendes João Lavieque,Q1740056,"","","",male
+++,"",Filipe Carlos Domingos,Q1740056,"","","",male
+++,"",Filipe Chimoio Paunde,Q504564,"","","",male
+++,"",Filipe Jaime,Q504564,"","","",male
+++,"",Filomena Nachaque,Q504564,"","","",female
+++,"",Flora Bela Das Neves Caetano,Q504564,"","","",female
+++,"",Francisca Domingos Tomás,Q504564,"","","",female
+++,"",Francisca Sabão Domingos,Q1740056,"","","",female
+++,"",Francisco Filipe M. V. Mboya Campira,Q1740056,"","","",male
+++,"",Francisco Maingue,Q1740056,"","","",male
+++,"",Francisco Ussene Mucanheia,Q504564,"","","",male
+++,"",Freitas Joaquim Emílio Tiquila,Q1740056,"","","",male
+++,"",Félix Assomate Quembo,Q1740056,"","","",male
+++,"",Gania Aly Abdula Mussagy,Q1740056,"","","",female
+++,"",Geraldo Alexandre Carvalho,Q668181,"","","",male
+++,"",Gildo Fortunato Elias Muaga,Q504564,"","","",male
+++,"",Glória Salvador,Q1740056,"","","",female
+++,"",Gonçalves Maceda,Q504564,"","","",male
+++,"",Helena Da Glória Muando,Q504564,"","","",female
+++,"",Helena Jacinto Música,Q504564,"","","",female
+++,"",Hermenegildo Mateus Infante,Q504564,"","","",male
+++,"",Hermenegildo Santana Chimarizene,Q504564,"","","",male
+++,"",Hilário Uaite,Q1740056,"","","",male
+++,"",Hélder Ernesto Injojo,Q504564,"","","",male
+++,"",Irene Joaquim,Q1740056,"","","",female
+++,"",Isac Lucas Mandava,Q1740056,"","","",male
+++,"",Isaura António Júlio,Q504564,"","","",female
+++,"",Isaura Da Uaitura Albino,Q504564,"","","",female
+++,"",Isequiel Molde Gusse,Q1740056,"","","",male
+++,"",Isidora Da Esperança Faztudo,Q504564,"","","",female
+++,"",Ivan Amaral Chinganhane Mazanga,Q1740056,"","","",male
->,Q19613993,Ivone Soares->Maria Ivone Rensamo Bernardo Soares,NULL->Q1740056,,2009,,female
+++,"",Jacinto Gabriel Lourenço Inácio Capito,Q504564,"","","",male
+++,"",Jaime Bessa Augusto Neto,Q504564,"","","",male
+++,"",Janete Nelsone Tenene,Q1740056,"","","",female
+++,"",Jemusse Amido Lada,Q504564,"","","",male
+++,"",Jerónima Agostinho,Q504564,"","","",female
+++,"",Jerónimo Malagueta Nalia,Q1740056,"","","",male
+++,"",Joana Anacleto Vasco,Q504564,"","","",female
+++,"",Joana Muchanga Mondlana,Q504564,"","","",female
+++,"",Joana Simão,Q504564,"","","",female
+++,"",Joaquim Greva,Q1740056,"","","",male
+++,"",Joaquim Veríssimo,Q504564,"","","",male
+++,"",José Bento Coffe Mutsanhe,Q504564,"","","",male
+++,"",José Candugua António Pacheco,Q504564,"","","",male
+++,"",José Carlos Cruz,Q1740056,"","","",male
+++,"",José Henrique Lopes,Q1740056,"","","",male
+++,"",José Horácio Lourenço Lobo,Q668181,"","","",male
+++,"",José Manteigas Gabriel,Q1740056,"","","",male
+++,"",José Manuel De Sousa,Q668181,"","","",male
+++,"",José Manuel Samo Gudo,Q1740056,"","","",male
+++,"",José Mateus Muária Katupha,Q504564,"","","",male
+++,"",José Nicolau,Q1740056,"","","",male
+++,"",José Tsingano Camanula,Q1740056,"","","",male
+++,"",Jovial Setina Mutombene M. Da Cruz,Q504564,"","","",male
+++,"",João Paulo Pereira De Albuquerque,Q1740056,"","","",male
+++,"",Juliana Vitória Picardo,Q1740056,"","","",female
+++,"",Julieta António,Q504564,"","","",female
+++,"",Justina Sambil,Q504564,"","","",female
+++,"",Justino Paulo Langa,Q504564,"","","",male
+++,"",Lassimo Ossifo,Q668181,"","","",male
+++,"",Latifo Ismael Xarifo,Q1740056,"","","",male
+++,"",Laura Fernanda Souto,Q504564,"","","",female
+++,"",Laura Maria De Jesus Amadeu,Q504564,"","","",female
+++,"",Laurinda Silva Pedro António Cheia,Q668181,"","","",female
+++,"",Leopoldo Alfredo Ernesto,Q1740056,"","","",male
+++,"",Lina Francisco Fafetine Ofiço,Q504564,"","","",female
+++,"",Lourenço César Sufria,Q504564,"","","",male
+++,"",Lucinda Bela Das Dores Impitule Malema,Q504564,"","","",female
+++,"",Lucília José Manuel Nota Hama,Q504564,"","","",female
+++,"",Lutero Chimbirombiro Simango,Q668181,"","","",male
+++,"",Lutsé Esperança Mirione Rumeia,Q504564,"","","",female
+++,"",Lúcia Pedro Mafuaine,Q504564,"","","",female
+++,"",Lúcia Xavier Afate,Q1740056,"","","",female
+++,"",Manuel Chang,Q504564,"","","",male
+++,"",Manuel Vasconcelos E. Manuel Maria,Q504564,"","","",male
+++,"",Manuel Zeca Bissopo,Q1740056,"","","",male
+++,"",Margarida Adamugy Talapa,Q504564,"","","",female
+++,"",Margarida Manuel Salimo,Q504564,"","","",female
+++,"",Margarida Sebastião Mapandzene Chongo,Q504564,"","","",female
+++,"",Margarido Salvador Abrantes,Q1740056,"","","",male
+++,"",Maria Anastácia Da Costa Xavier,Q1740056,"","","",female
->,Q6760997,Maria Angelina Dique Enoque,NULL->Q1740056,,1994,,female
+++,"",Maria Bachir,Q504564,"","","",female
+++,"",Maria Helena,Q504564,"","","",female
+++,"",Maria Inês Martins,Q1740056,"","","",female
+++,"",Maria Marta Mateus Fernando,Q504564,"","","",female
---,Q105325412,Maria Veloso,,,1977,,female
+++,"",Mariana Caisse,Q1740056,"","","",male
+++,"",Marquita Alexandre Loforte Jaime,Q504564,"","","",female
+++,"",Martinha Januário Benfica,Q504564,"","","",female
+++,"",Matias José Matias Nhongue,Q504564,"","","",male
+++,"",Miguel Anlawe Musssa,Q504564,"","","",male
+++,"",Miguel Celestino Mpamba,Q504564,"","","",male
+++,"",Mohamad Da Costa Ali Yassine,Q1740056,"","","",male
+++,"",Muhamad Bacir Abdul Remane,Q1740056,"","","",male
+++,"",Muhamedrachid Sulemane,Q668181,"","","",male
+++,"",Mustagibo Atimo Bachir,Q1740056,"","","",male
+++,"",Mário Ali,Q1740056,"","","",male
+++,"",Mário Franque,Q1740056,"","","",male
+++,"",Nilza Henguissere Narciso,Q504564,"","","",female
+++,Q27220074,Nyeleti Brooke Mondlane,Q504564,"","","",female
+++,"",Odete Isaias Motiça,Q1740056,"","","",female
+++,"",Ofélia Timóteo Mutombene,Q504564,"","","",female
+++,"",Olinda Francisco Langa Mith,Q504564,"","","",female
+++,"",Olinda Navais,Q668181,"","","",female
->,Q55106039,Osfo Momad->Ossufo Momade,NULL->Q1740056,,1999,2018,male
+++,"",Patrício M´Pagai,Q504564,"","","",male
+++,"",Paulo Vahanle,Q1740056,"","","",male
+++,"",Pedro Frederico Cossa,Q504564,"","","",male
+++,"",Pedro Tesoura Chichova,Q1740056,"","","",male
+++,"",Rachade Carvalho,Q668181,"","","",male
+++,"",Rafael António De Sousa Gusmão,Q1740056,"","","",male
+++,"",Rafael Lourenço Chande,Q504564,"","","",male
+++,"",Raimundo Pitágoras Lauma,Q668181,"","","",male
+++,"",Ramulata Mahumudo Irache,Q504564,"","","",female
+++,"",Regina Macuacua Muchanga,Q504564,"","","",female
+++,"",Ricardina Suia Albano Mazive,Q504564,"","","",female
+++,"",Ricardo Frederico Francisco Tomás,Q668181,"","","",male
+++,"",Rosário Mualeia,Q504564,"","","",male
+++,"",Rui Sixpence Gonzane,Q504564,"","","",male
+++,"",Saimone Muhambi Macuaina,Q1740056,"","","",male
+++,"",Sande Casitigo Carmona,Q668181,"","","",male
+++,"",Sandura Vasco Ambrósio,Q1740056,"","","",female
+++,"",Sara Mamudo Abdula Vassanegy,Q504564,"","","",female
+++,"",Sebastião Da Costa Sebastião,Q1740056,"","","",male
+++,"",Severiano Romão Khoy,Q504564,"","","",male
+++,"",Severina Tiago Banze,Q504564,"","","",female
+++,"",Silvério Eugénio Samuel,Q668181,"","","",male
+++,"",Simão Bute,Q1740056,"","","",male
+++,"",Simões Paulo Mário,Q1740056,"","","",male
+++,"",Sofrimento Funai Matequenha,Q1740056,"","","",male
+++,"",Sérgio José Camunga Pantie,Q504564,"","","",male
+++,"",Sónia Maria Vasco Mepameia,Q504564,"","","",female
+++,"",Telmina Manuel Paixão Pinho Pereira,Q504564,"","","",female
---,Q105326781,Teresa Tembo,,,1977,,female
+++,"",Valdemiro De G. Pascoal Nhancengo,Q504564,"","","",male
+++,"",Valentina Justa Puchar Mtumuke,Q504564,"","","",female
+++,"",Valéria José Mitilela,Q504564,"","","",female
+++,"",Vasco Manuel,Q1740056,"","","",male
+++,"",Venâncio António Bila Mondlane,Q668181,"","","",male
+++,"",Vergonha Abudo,Q1740056,"","","",male
->,Q6722501,Verónica Macamo->Verónica Nataniel Macamo Dlhovo,NULL->Q504564,,1994,,female
+++,"",Viana Da Silva Magalhães,Q1740056,"","","",male
+++,"",Victor Viandro Mudivila,Q1740056,"","","",male
+++,"",Victória Dias Diogo,Q504564,"","","",female
+++,"",Virgínia Oreste Kwavateka Gondola,Q504564,"","","",female
+++,"",Yonusse Amad,Q1740056,"","","",male
+++,"",Zezinho Ricardo José,Q504564,"","","",male
+++,"",Ássia Paulo Cipriano Abudo Ali,Q504564,"","","",female
