item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender
,Abacar Chande,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Abdala Ossifo Ibraimo,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,male
,Abdul Gafur Mamade Hossene Issufo,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO PROVINCIA,,,male
,Abiba Aba,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,female
,Afonso Januário Bombene,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,male
,Afonso Lopes Nipero,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,male
,Agostinho André Likangóne,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ÁFRICA,,,male
,Agostinho Cosme Manje,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NIASSA,,,male
,Agostinho Gomes Chipindula,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,SOFALA,,,male
,Agostinho José Lobato,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Agostinho Zacarias Vuma,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,GAZA,,,male
,Aida Maria Soares,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,female
,Ainca Micusserima Chande,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,female
,Aires Bonifácio Baptista Aly,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,INHAMBANE,,,male
,Aisácia João Chochoma,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,female
,Albano Bulaunde José,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,SOFALA,,,male
,Albertina Ilda Lino,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,CABO DELGADO,,,female
,Albertina Jocia,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,SOFALA,,,female
,Albertina Julião Matavele,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,MAPUTO PROVINCIA,,,female
,Alberto Clementino António Vaquina,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,GAZA,,,male
,Alberto Jacinto Nancuta Mtukutuku,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,male
Q4711973,Alberto Joaquim Chipande,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,SOFALA,,,male
,Alberto Jumulate,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,male
,Alcina António de Abreu,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,female
,Alfredo Jame,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NIASSA,,,male
,Alfredo Tomás Magumisse,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,MANICA,,,male
,Alice Caetano Tomás,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,TETE,,,female
,Almina Manuel Monteiro,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NIASSA,,,female
,Alves Jordão Zita,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,GAZA,,,male
,Amilcar José Hussein,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,male
,Américo José Ubisse,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,CABO DELGADO,,,male
,Américo Paulo Noé Muchanga,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,MANICA,,,male
,Ana Antónia Henrique Dimitri,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,TETE,,,female
,Ana Paula Orta Cordeiro Manhique,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NIASSA,,,female
,Ana Paula Victorino J. P. da Graça,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,TETE,,,female
,Ana Rita Geremias Sithole,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,INHAMBANE,,,female
,André Joaquim Magibire,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,SOFALA,,,male
,Antónia Rufino Cara-alegre Tembe,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO PROVINCIA,,,female
,Antónia Simão Paulo Charre,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,SOFALA,,,female
,António Augusto Eduardo Namburete,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,MAPUTO CIDADE,,,male
,António Hama Thai,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,male
,António José Amélia,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,male
,António Pedro Muchanga,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,MAPUTO PROVINCIA,,,male
,António Rosário Niquice,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,male
,António Severino Timba,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,MAPUTO CIDADE,,,male
,António Valério Kantile,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,male
,Armando Ramiro Artur,Q668181,PARTIDO MOVIMENTO DEMOCRÁTICO DE MOÇAMBIQUE,,SOFALA,,,male
,Atanásio Gomes Kulyaukila,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Beatriz Mário Chaguala,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO PROVINCIA,,,female
,Bernardino Benjamim Carneiro Cortez,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,male
,Bonifácio João Nicassa,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,male
,Buanar Muhamede,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,male
,Caifadine Paulo Manasse,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,male
,Carimo Freitas de Oliveira,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,male
,Carlos Manuel,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,male
,Carlos Manuel Simbi,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,MANICA,,,male
,Carlos Moreira Vasco,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Carlos Samussone Maiela,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,INHAMBANE,,,male
,Carlos Sebastião,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NIASSA,,,male
,Carvalho Muária,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NIASSA,,,male
,Carvalho Pensando António,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,male
,Catarina Olinda Salomão Figueira,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,TETE,,,female
,Celmira Irene Melo Xavier,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,female
,Cemilde Amélia Muchanga,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,SOFALA,,,female
,Chrispen Matches,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,TETE,,,male
,Cidália Manuel Chaúque Oliveira,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,female
,Conceita Ernesto Xavier Sortane,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,female
,Costa Francisco Chale,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,male
,Damião José,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,male
,Daniel João Matavele,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,GAZA,,,male
,Danilo Aly Teixeira,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,male
,David Jonas Moiana,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,male
,Deolinda Catarina João Chochoma,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,female
,Dina Ali Américo,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,female
,Domingos Cintura,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Domingos Gabriel Tavira,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Domingos Migina Assulai,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,male
,Edmundo Galiza Dimande Matos,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO PROVINCIA,,,male
,Edson da Graça Francisco Macuacua,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,GAZA,,,male
Q5340644,Eduardo Joaquim Mulémbwè,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,male
,Eduardo João Ladria,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,male
,Eduardo Silva Nihia,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Elisa Amina Amisse Timóteo,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,female
,Elisa Maria Isabel Silvestre Cipriano,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,female
,Elisa Rajamo,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,female
,Emídio Benjamim Xavier,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,GAZA,,,male
,Emília Alfredo Pereira,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,INHAMBANE,,,female
,Eneas da Conceição Comiche,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,INHAMBANE,,,male
,Esmeralda Aurélio Mutemba,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,female
Q5398931,Esperança L. F. Bias,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,female
,Ester Epifánio Plaze,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,female
,Eulália Lourenço Oliveira,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,female
,Eva José Mangaze,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,female
,Eva Teixeira Caetano Dias,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,female
,Evaristo Tatano Sixpence,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,TETE,,,male
,Ezequiel João Aramane,Q668181,PARTIDO MOVIMENTO DEMOCRÁTICO DE MOÇAMBIQUE,,ZAMBÉZIA,,,male
,Faruk Osman,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO PROVINCIA,,,male
,Felizarda Clara de Castro,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,female
,Fernando Amelane,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NIASSA,,,male
,Fernando Bismarque Ali,Q668181,PARTIDO MOVIMENTO DEMOCRÁTICO DE MOÇAMBIQUE,,NAMPULA,,,male
,Fernando Jossias Matouassanga,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,male
,Fernando José Namacua,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,ZAMBEZIA,,,male
,Fernando Mendes João Lavieque,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,male
,Filipe Carlos Domingos,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,TETE,,,male
,Filipe Chimoio Paunde,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Filipe Jaime,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,INHAMBANE,,,male
,Filomena Nachaque,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,CABO DELGADO,,,female
,Flora Bela das Neves Caetano,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NIASSA,,,female
,Francisca Domingos Tomás,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,female
,Francisca Sabão Domingos,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,TETE,,,female
,Francisco Filipe M. V. Mboya Campira,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,SOFALA,,,male
,Francisco Maingue,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,TETE,,,male
,Francisco Ussene Mucanheia,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,NAMPULA,,,male
,Freitas Joaquim Emílio Tiquila,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,ZAMBÉZIA,,,male
,Félix Assomate Quembo,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,TETE,,,male
,Gania Aly Abdula Mussagy,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,INHAMBANE,,,female
,Geraldo Alexandre Carvalho,Q668181,PARTIDO MOVIMENTO DEMOCRÁTICO DE MOÇAMBIQUE,,ZAMBÉZIA,,,male
,Gildo Fortunato Elias Muaga,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,INHAMBANE,,,male
,Glória Salvador,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NAMPULA,,,female
,Gonçalves Maceda,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,INHAMBANE,,,male
,Helena Jacinto Música,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,female
,Helena da Glória Muando,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MANICA,,,female
,Hermenegildo Mateus Infante,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,MAPUTO CIDADE,,,male
,Hermenegildo Santana Chimarizene,Q504564,BANCADA PARLAMENTAR DA FRELIMO,,TETE,,,male
,Hilário Uaite,Q1425821,BANCADA PARLAMENTAR DA RENAMO,,NIASSA,,,male
