@@,name,party,area,startdate,enddate
---,Maria Veloso,,,1977,
---,Verónica Macamo,,,1994,
---,Esperança Bias,,,2015,
---,Ivone Soares,,,2009,
---,Teresa Tembo,,,1977,
->,Maria Angelina Dique Enoque,NULL->Q1425821,NULL->Q622792,1994,
+++,Carlos Manuel,Q1425821,Q622794,,
+++,Carvalho Pensado António,Q1425821,Q622794,,
+++,Glória Salvador,Q1425821,Q622794,,
+++,Zacarias José,Q1425821,Q622794,,
+++,Gania Aly Abdula Mussagy,Q1425821,Q466547,,
+++,Carlos Samussone Maiela,Q1425821,Q466547,,
+++,Eulália Lourenço Oliveira,Q1425821,Q622794,,
+++,Catarina Olinda Salomão,Q1425821,Q605787,,
+++,Evaristo Tatamo Sixpence,Q1425821,Q605787,,
+++,Francisco Maingue,Q1425821,Q605787,,
+++,Manuel Pereira Zuze Caliquete,Q1425821,Q605787,,
+++,Muhamedrashid Sulemane,Q1425821,Q622794,,
+++,Agostinho Pinto Mussuluaia Muapilote,Q1425821,Q622794,,
+++,Felizarda Clara de Castro,Q1425821,Q622794,,
+++,Mussabay Issufo Gani,Q1425821,Q622794,,
+++,Maria Anastácia da Costa Xavier,Q1425821,Q622794,,
+++,Mateus Elias Damião Faimane da Silva,Q1425821,Q622794,,
+++,Arnaldo Francisco Chalaua,Q1425821,Q622794,,
+++,João Samuel Watchy,Q1425821,Q622799,,
+++,Saíde Fidel,Q1425821,Q622799,,
+++,Abdala Ossifo Ibraimo,Q1425821,Q622803,,
+++,Viana da Silva Albino Magalhães,Q1425821,Q622803,,
+++,Jerónimo Malagueta Nalia,Q1425821,Q622803,,
+++,António Eusébio Mulima,Q1425821,Q622792,,
+++,Alfredo Tomás Magumisse,Q1425821,Q622792,,
+++,Alberto João Ferreira,Q1425821,Q622792,,
+++,Maria Ivone Rensamo Bernardo Soares,Q1425821,Q622803,,
+++,Leopoldo Alfredo Ernesto,Q1425821,Q622803,,
+++,Inácio João Reis,Q1425821,Q622803,,
+++,Arlindo Arrido Maquival,Q1425821,Q622803,,
+++,José Manteigas Gabriel,Q1425821,Q622803,,
+++,Victor Viandro Mudivila,Q1425821,Q622803,,
+++,Isequiel Molde Gusse,Q1425821,Q622803,,
+++,Maria Inês Martins,Q1425821,Q622803,,
+++,Maria Joaquina Júlio Inácio,Q1425821,Q622803,,
+++,Uale Amado,Q1425821,Q622799,,
+++,Mustagibo Atimo Bachir,Q1425821,Q466538,,
+++,Hermínio Morais,Q1425821,Q3889,,
+++,Clementina Francisco Bomba,Q1425821,Q379658,,
+++,Samuel Eugénio Mandlate,Q1425821,Q379658,,
+++,António Pedro Muchanga,Q1425821,Q379658,,
+++,Mateus Muchacuare Tomo,Q1425821,Q379658,,
+++,José Manuel Samo Gudo,Q1425821,Q379658,,
+++,Manuel Alex Muacuane,Q1425821,Q466538,,
+++,Alberto José Bacar,Q1425821,Q466538,,
+++,Albertina Ilda Lino,Q1425821,Q466538,,
+++,António Augusto Eduardo Namburete,Q1425821,Q3889,,
+++,André Joaquim Magibire,Q1425821,Q622801,,
+++,Ricardo Joaquim Nguiriche Gerente,Q1425821,Q622801,,
+++,Elias Macacho Marceta Dhlakama,Q1425821,Q622801,,
+++,Arlindo Daniel Bila,Q1425821,Q3889,,
+++,Maria Celeste Mucote Mavungue Cachite,Q1425821,Q622801,,
+++,Venâncio António Bila Mondlane,Q1425821,Q3889,,
+++,Álvaro António Faquirá Caul,Q1425821,Q466538,,
+++,Vasco Manuel,Q1425821,Q622799,,
+++,Lúcia Xavier Afate,Q1425821,Q622794,,
+++,Abiba Aba,Q1425821,Q622794,,
+++,Fernando Jossias Matouassanga,Q1425821,Q622794,,
+++,Fernando Mendes João Lavieque,Q1425821,Q622794,,
+++,Caifadine Paulo Manasse,Q504564,Q622803,,
+++,Lúcia José Madeira,Q504564,Q622803,,
+++,Assia Paulo Cipriano Abudo Ali,Q504564,Q622803,,
+++,Josefa Jacinto Musica,Q504564,Q622803,,
+++,Jacinto Gabriel Lourenço Inácio Capito,Q504564,Q622803,,
+++,Sebastião Inácio Saíde,Q504564,Q622803,,
+++,Arlinda Cipriano de Sousa,Q504564,Q622803,,
+++,Zainane Memane Ossumane,Q504564,Q622803,,
+++,João Catemba Chacuamba,Q504564,Q622803,,
+++,Momade Arnaldo Juízo,Q504564,Q622803,,
+++,Aida Maria Soares Gouveia,Q504564,Q622803,,
+++,Zuria Tuaibo Assumane,Q504564,Q622803,,
+++,Carimo Fretas de Oliveira,Q504564,Q622803,,
+++,Sabir José Vasco Maquege,Q504564,Q622803,,
+++,Clarice da Esperança Milato,Q504564,Q622803,,
+++,Eusébio Nanguia Nipite Mulange,Q504564,Q622803,,
+++,Inácia Henriques Carneiro Ngonde,Q504564,Q622803,,
+++,Sábado Alamo Chombe,Q504564,Q622803,,
+++,Tomaz Augusto Salomão,Q504564,Q605787,,
+++,Mércia Licas Castela Viriato,Q504564,Q605787,,
+++,Matias José Matias Nhongo,Q504564,Q605787,,
+++,Luísa André Avelino Cuchamano,Q504564,Q605787,,
+++,Ana Antónia Henrique Dimitri,Q504564,Q605787,,
+++,Ângela Catarina Vidigal Fole Marizane,Q504564,Q605787,,
+++,Manuel Vasconcelos Estrela Manuel Maria,Q504564,Q605787,,
+++,Nharongue Mário Muringa,Q504564,Q605787,,
+++,Maria Marta Mateus Fernando,Q504564,Q605787,,
+++,Maria Inês Ntseka,Q504564,Q605787,,
+++,Vitória Dias Diogo,Q504564,Q605787,,
+++,Elvira Pinto Duarte Timana,Q504564,Q605787,,
+++,Joana Anacleto Vasco,Q504564,Q605787,,
+++,Adelino Andissene Silveira,Q504564,Q605787,,
+++,Chrispen Matches,Q504564,Q605787,,
+++,Joana Júlia Seifana Mucamba Ravia,Q504564,Q605787,,
+++,Aureliana Otília Filipe Jamisse,Q504564,Q605787,,
+++,Carlos Agostinho do Rosário,Q504564,Q622792,,
+++,Amílcar José Hussein,Q504564,Q622792,,
+++,Ana Armando Chapo,Q504564,Q622792,,
+++,Francisca Domingos Tomás,Q504564,Q622792,,
+++,António Joaquim Mainato,Q504564,Q622792,,
+++,Costa Francisco Chale,Q504564,Q622792,,
+++,Maria Alice Saize,Q504564,Q622792,,
+++,Ester Epifánio Plaze,Q504564,Q622792,,
+++,Carminda da Graça Barata,Q504564,Q622792,,
+++,António José Amélia,Q504564,Q622792,,
+++,Vasco David Gaspar,Q504564,Q622792,,
+++,Abdul Zacarias,Q504564,Q622792,,
+++,Alexandre Tiago,Q504564,Q622792,,
+++,Sérgio José Camunga Pantie,Q504564,Q622801,,
+++,Zezinho Ricardo José,Q504564,Q622801,,
+++,Manuel Rodrigo Ramessane,Q504564,Q622801,,
+++,Cernilde Amélia Muchanga de Mendonça,Q504564,Q622801,,
+++,Daly Assumane Kumanda,Q504564,Q622801,,
+++,Agostinho Gomes Chipindula,Q504564,Q622801,,
+++,Palma Pinto da Conceição José Maria,Q504564,Q622801,,
+++,Isaura António Júlio,Q504564,Q622801,,
+++,Zaia Miquitaio Cafumbe Valeta,Q504564,Q622801,,
+++,Lina Francisco Fafetine Ofiço,Q504564,Q622801,,
+++,Hortência Gaurassue Zacarias Magibire de,Q504564,Q622801,,
+++,Domingas Gonçalves José Ferrão,Q504564,Q622801,,
+++,Mário da Cruz de Amaral,Q504564,Q622801,,
+++,Ana Maria Simante,Q504564,Q622801,,
+++,Ana Rita Geremias Sithole,Q504564,Q466547,,
+++,Gildo Fortunato Elias Muaga,Q504564,Q466547,,
+++,Dias Julião Letela,Q504564,Q466547,,
+++,Jerónima Agostinho,Q504564,Q466547,,
+++,Carlos Sebastião Chissingue,Q504564,Q466547,,
+++,Filipe Jaime,Q504564,Q466547,,
+++,Joaquina Oreste Siliya,Q504564,Q466547,,
+++,Jovial Setina Mutombene Marengue da Cruz,Q504564,Q466547,,
+++,Margarida José Naiete,Q504564,Q466547,,
+++,Gonçalves Maceda,Q504564,Q466547,,
+++,Hermenegildo Bernardo Devesse,Q504564,Q466547,,
+++,Conceita Ernesto Xavier Sortane,Q504564,Q466526,,
+++,Nyeleti Brooke Mondlane,Q504564,Q466526,,
+++,Daniel João Matavele,Q504564,Q466526,,
+++,Hermenegildo Domingos Chiúre,Q504564,Q466526,,
+++,Margarida Sebastião Mapandzene Chongo,Q504564,Q466526,,
+++,Pedro António Bila,Q504564,Q466526,,
+++,Edson da Graça Francisco Macuácua,Q504564,Q466526,,
+++,Rogério Ernesto Mboa,Q504564,Q466526,,
+++,Ricardina Suia Albano Mazive,Q504564,Q466526,,
+++,Matias Filipe Macamo,Q504564,Q466526,,
+++,Alves Jordão Zita…,Q504564,Q466526,,
+++,Rita Bento Muianga,Q504564,Q466526,,
+++,Lúcia Pedro Mafuiane,Q504564,Q466526,,
+++,Alberto Francisco Valoi,Q504564,Q466526,,
+++,Agostinho Zacarias Vuma,Q504564,Q466526,,
+++,Bonito Novunga,Q504564,Q466526,,
+++,Laura Fernanda Souto …,Q504564,Q466526,,
+++,Brígida Anita Jorge Mathavele,Q504564,Q466526,,
+++,Henriqueta Fabião Cuna,Q504564,Q466526,,
+++,Mirna Isabel Chibuco,Q504564,Q466526,,
+++,Alberto Lives Andela Niquice,Q504564,Q466526,,
+++,Glória Ernesto Matuassa,Q504564,Q466526,,
+++,Verónica Nataniel Macamo Dlovo,Q504564,Q379658,,
+++,Carmelita Rita Namashulua,Q504564,Q379658,,
+++,Elcina Eugénio Marindze,Q504564,Q379658,,
+++,Cristina Chelene Manhice Sevene,Q504564,Q379658,,
+++,Abdul Gafur Mamade Hossene Issufo,Q504564,Q379658,,
+++,Telmina Manuel Paixão Pinho Pereira,Q504564,Q379658,,
+++,Zacarias João Chivavi,Q504564,Q379658,,
+++,Faruk Osman,Q504564,Q379658,,
+++,Osório João Soto,Q504564,Q379658,,
+++,Valentina Justa Puchar Mtumuke,Q504564,Q379658,,
+++,Olívia Fernando Matavele,Q504564,Q379658,,
+++,José Bento Coffe Mutsanhe,Q504564,Q379658,,
+++,Edson Judite Calisto Nhangumele,Q504564,Q379658,,
+++,Esperança Laurinda Francisco Nhiuane Bias,Q504564,Q3889,,
+++,Margarida Manuel Salimo,Q504564,Q3889,,
+++,Flora Enosse José,Q504564,Q3889,,
+++,António Rosário Niquice,Q504564,Q3889,,
+++,Catarinha Mário Dimande,Q504564,Q3889,,
+++,Helena Jacinto Música,Q504564,Q3889,,
+++,Dominic Phiri,Q504564,Q3889,,
+++,Gabriel Xavier da Barca Júnior,Q504564,Q3889,,
+++,Isaltina Maria Campioni Biwi,Q504564,Q379658,,
+++,Aires Bonifácio Baptista Ali,Q504564,Q622799,,
+++,Carlos Sebastião,Q504564,Q622799,,
+++,Ana Maria de Lourdes Massengele,Q504564,Q622799,,
+++,Flora Bela das Neves Caetano Meque,Q504564,Q622799,,
+++,Fátima Rais Aly Mpemba,Q504564,Q622799,,
+++,Rafael Lourenço Chande,Q504564,Q622799,,
+++,Idalina Felix Nitasse,Q504564,Q622799,,
+++,Almina Manuel Monteiro Mauride,Q504564,Q622799,,
+++,Paulo Rosário Phatama,Q504564,Q622799,,
+++,Eduardo Joaquim Mulémbwè,Q504564,Q466538,,
+++,Kintheyaro Júlia Mariana Aguacheiro,Q504564,Q466538,,
+++,Ramulata Mahamudo Iraché,Q504564,Q466538,,
+++,Noel Brácio Nandena,Q504564,Q466538,,
+++,Afonso Lopes Nipero,Q504564,Q466538,,
+++,Muanaiamo Pinto Massua,Q504564,Q466538,,
+++,Alberto Jacinto Nankuta Matukutuku,Q504564,Q466538,,
+++,Balbina Deolinda Raibo Mateus,Q504564,Q466538,,
+++,Maria Bachir,Q504564,Q466538,,
+++,Atanásio Quirino Machude,Q504564,Q466538,,
+++,Laura Maria de Jesus Amadeu,Q504564,Q466538,,
+++,Muanarera Abdala,Q504564,Q466538,,
+++,Alberto Jumulate,Q504564,Q466538,,
+++,Maria Isabel Luís da Silva,Q504564,Q466538,,
+++,Julieta António,Q504564,Q466538,,
+++,Sefo Sente,Q504564,Q466538,,
+++,Afonso Januário Bombeni,Q504564,Q466538,,
+++,Nunes Age Antage,Q504564,Q466538,,
+++,Margarida Adamugi Talapa,Q504564,Q622794,,
+++,António do Rosário Bernardino Boene,Q504564,Q622794,,
+++,Marquita Alexandre Loforte Jaime,Q504564,Q622794,,
+++,Faizal Américo António,Q504564,Q622794,,
+++,Luciano André de Castro,Q504564,Q622794,,
+++,Abdula Tarmamade Abdula,Q504564,Q622794,,
+++,Lucinda Bela das Dores Impitule Malema,Q504564,Q622794,,
+++,Germano José Joaquim,Q504564,Q622794,,
+++,Rosário Mualeia,Q504564,Q622794,,
+++,Nerina Jone Bustani,Q504564,Q622794,,
+++,Lucília José Manuel Nota Hama,Q504564,Q622794,,
+++,Milissão Castomo,Q504564,Q622794,,
+++,Eduardo Silva Nihia,Q504564,Q622794,,
+++,Natércia Mutide Pilima,Q504564,Q622794,,
+++,Virgínia Oreste Kwavateka Gondola,Q504564,Q622794,,
+++,Saripa Trinta Namuira,Q504564,Q622794,,
+++,Francisco Ussene Mucanheia,Q504564,Q622794,,
+++,Dores Armando Izidro,Q504564,Q622794,,
+++,Elisa Amina Amisse Timóteo,Q504564,Q622794,,
+++,Dionísio Cherewa,Q504564,Q622794,,
+++,Carlos Moreira Vasco,Q504564,Q622794,,
+++,Gilberto Francisco,Q504564,Q622794,,
+++,Martinha Januário Benfica,Q504564,Q622794,,
+++,Atanásio Gomes Kulyaukila,Q504564,Q622794,,
+++,Agostinho Sairosse Maeni,Q504564,Q622794,,
+++,Domingos Gabriel Tavira,Q504564,Q622794,,
+++,Agostinho Navanssuane Chelua,Q504564,Q622794,,
+++,Fátima Machona Dias,Q504564,Q622794,,
+++,Jaime Basílio Monteiro,Q504564,Q622803,,
+++,Raimundo Maico Diomba,Q504564,Q622803,,
+++,Hélder Ernesto Injojo,Q504564,Q622803,,
+++,Edmundo Bonifácio Gruveta Massamba,Q504564,Q622803,,
+++,Alsácia João Chochoma Sartinha,Q504564,Q622803,,
+++,Paulino Santos Lenço,Q504564,Q622803,,
+++,Damião José,Q504564,Q622803,,
+++,Alice Ana Francisco Xavier Kufa,Q504564,Q622803,,
+++,Deolinda Catarina João Chochoma,Q504564,Q622803,,
+++,Safi Mahomed Reman Gulamo,Q504564,Q622803,,
+++,Jonas Fenias Sitoe,Q504564,,,
+++,Ivone Sansão Bila,Q504564,,,
+++,Albano Bulaunde José,Q668181,Q622801,,
+++,Elias Gilberto Impuiri,Q668181,Q622803,,
+++,Fernando Bismarque Ali,Q668181,Q622794,,
+++,José Domingos Manuel,Q668181,Q622801,,
+++,Lutero Chimbirombiro Simango,Q668181,Q3889,,
+++,Silvério Pedro Eugénio Samuel,Q668181,Q379658,,
