item,name,party,partyLabel,area,areaLabel
,Aires Bonifácio Baptista Ali,Q504564,FRELIMO,Q622799,Niassa
,Carlos Sebastião,Q504564,FRELIMO,Q622799,Niassa
,Ana Maria de Lourdes Massengele,Q504564,FRELIMO,Q622799,Niassa
,Flora Bela das Neves Caetano Meque,Q504564,FRELIMO,Q622799,Niassa
,Fátima Rais Aly Mpemba,Q504564,FRELIMO,Q622799,Niassa
,Rafael Lourenço Chande,Q504564,FRELIMO,Q622799,Niassa
,Idalina Felix Nitasse,Q504564,FRELIMO,Q622799,Niassa
,Almina Manuel Monteiro Mauride,Q504564,FRELIMO,Q622799,Niassa
,Paulo Rosário Phatama,Q504564,FRELIMO,Q622799,Niassa
,Saíde Fidel,Q1425821,RENAMO,Q622799,Niassa
,Uale Amado,Q1425821,RENAMO,Q622799,Niassa
,Vasco Manuel,Q1425821,RENAMO,Q622799,Niassa
,João Samuel Watchy,Q1425821,RENAMO,Q622799,Niassa
,Eduardo Joaquim Mulémbwè,Q504564,FRELIMO,Q466538,Cabo Delgado
,Kintheyaro Júlia Mariana Aguacheiro,Q504564,FRELIMO,Q466538,Cabo Delgado
,Ramulata Mahamudo Iraché,Q504564,FRELIMO,Q466538,Cabo Delgado
,Noel Brácio Nandena,Q504564,FRELIMO,Q466538,Cabo Delgado
,Afonso Lopes Nipero,Q504564,FRELIMO,Q466538,Cabo Delgado
,Muanaiamo Pinto Massua,Q504564,FRELIMO,Q466538,Cabo Delgado
,Alberto Jacinto Nankuta Matukutuku,Q504564,FRELIMO,Q466538,Cabo Delgado
,Balbina Deolinda Raibo Mateus,Q504564,FRELIMO,Q466538,Cabo Delgado
,Maria Bachir,Q504564,FRELIMO,Q466538,Cabo Delgado
,Atanásio Quirino Machude,Q504564,FRELIMO,Q466538,Cabo Delgado
,Laura Maria de Jesus Amadeu,Q504564,FRELIMO,Q466538,Cabo Delgado
,Muanarera Abdala,Q504564,FRELIMO,Q466538,Cabo Delgado
,Alberto Jumulate,Q504564,FRELIMO,Q466538,Cabo Delgado
,Maria Isabel Luís da Silva,Q504564,FRELIMO,Q466538,Cabo Delgado
,Julieta António,Q504564,FRELIMO,Q466538,Cabo Delgado
,Sefo Sente,Q504564,FRELIMO,Q466538,Cabo Delgado
,Afonso Januário Bombeni,Q504564,FRELIMO,Q466538,Cabo Delgado
,Nunes Age Antage,Q504564,FRELIMO,Q466538,Cabo Delgado
,Mustagibo Atimo Bachir,Q1425821,RENAMO,Q466538,Cabo Delgado
,Manuel Alex Muacuane,Q1425821,RENAMO,Q466538,Cabo Delgado
,Alberto José Bacar,Q1425821,RENAMO,Q466538,Cabo Delgado
,Albertina Ilda Lino,Q1425821,RENAMO,Q466538,Cabo Delgado
,Álvaro António Faquirá Caul,Q1425821,RENAMO,Q466538,Cabo Delgado
,Margarida Adamugi Talapa,Q504564,FRELIMO,Q622794,Nampula
,António do Rosário Bernardino Boene,Q504564,FRELIMO,Q622794,Nampula
,Marquita Alexandre Loforte Jaime,Q504564,FRELIMO,Q622794,Nampula
,Faizal Américo António,Q504564,FRELIMO,Q622794,Nampula
,Luciano André de Castro,Q504564,FRELIMO,Q622794,Nampula
,Abdula Tarmamade Abdula,Q504564,FRELIMO,Q622794,Nampula
,Lucinda Bela das Dores Impitule Malema,Q504564,FRELIMO,Q622794,Nampula
,Germano José Joaquim,Q504564,FRELIMO,Q622794,Nampula
,Rosário Mualeia,Q504564,FRELIMO,Q622794,Nampula
,Nerina Jone Bustani,Q504564,FRELIMO,Q622794,Nampula
,Lucília José Manuel Nota Hama,Q504564,FRELIMO,Q622794,Nampula
,Milissão Castomo,Q504564,FRELIMO,Q622794,Nampula
,Eduardo Silva Nihia,Q504564,FRELIMO,Q622794,Nampula
,Natércia Mutide Pilima,Q504564,FRELIMO,Q622794,Nampula
,Virgínia Oreste Kwavateka Gondola,Q504564,FRELIMO,Q622794,Nampula
,Saripa Trinta Namuira,Q504564,FRELIMO,Q622794,Nampula
,Francisco Ussene Mucanheia,Q504564,FRELIMO,Q622794,Nampula
,Dores Armando Izidro,Q504564,FRELIMO,Q622794,Nampula
,Elisa Amina Amisse Timóteo,Q504564,FRELIMO,Q622794,Nampula
,Dionísio Cherewa,Q504564,FRELIMO,Q622794,Nampula
,Carlos Moreira Vasco,Q504564,FRELIMO,Q622794,Nampula
,Gilberto Francisco,Q504564,FRELIMO,Q622794,Nampula
,Martinha Januário Benfica,Q504564,FRELIMO,Q622794,Nampula
,Atanásio Gomes Kulyaukila,Q504564,FRELIMO,Q622794,Nampula
,Agostinho Sairosse Maeni,Q504564,FRELIMO,Q622794,Nampula
,Domingos Gabriel Tavira,Q504564,FRELIMO,Q622794,Nampula
,Agostinho Navanssuane Chelua,Q504564,FRELIMO,Q622794,Nampula
,Fátima Machona Dias,Q504564,FRELIMO,Q622794,Nampula
,Fernando Bismarque Ali,Q668181,MDM,Q622794,Nampula
,Lúcia Xavier Afate,Q1425821,RENAMO,Q622794,Nampula
,Abiba Aba,Q1425821,RENAMO,Q622794,Nampula
,Fernando Jossias Matouassanga,Q1425821,RENAMO,Q622794,Nampula
,Fernando Mendes João Lavieque,Q1425821,RENAMO,Q622794,Nampula
,Carlos Manuel,Q1425821,RENAMO,Q622794,Nampula
,Carvalho Pensado António,Q1425821,RENAMO,Q622794,Nampula
,Glória Salvador,Q1425821,RENAMO,Q622794,Nampula
,Zacarias José,Q1425821,RENAMO,Q622794,Nampula
,Eulália Lourenço Oliveira,Q1425821,RENAMO,Q622794,Nampula
,Muhamedrashid Sulemane,Q1425821,RENAMO,Q622794,Nampula
,Agostinho Pinto Mussuluaia Muapilote,Q1425821,RENAMO,Q622794,Nampula
,Felizarda Clara de Castro,Q1425821,RENAMO,Q622794,Nampula
,Mussabay Issufo Gani,Q1425821,RENAMO,Q622794,Nampula
,Maria Anastácia da Costa Xavier,Q1425821,RENAMO,Q622794,Nampula
,Mateus Elias Damião Faimane da Silva,Q1425821,RENAMO,Q622794,Nampula
,Arnaldo Francisco Chalaua,Q1425821,RENAMO,Q622794,Nampula
,Jaime Basílio Monteiro,Q504564,FRELIMO,Q622803,Zambézia
,Raimundo Maico Diomba,Q504564,FRELIMO,Q622803,Zambézia
,Hélder Ernesto Injojo,Q504564,FRELIMO,Q622803,Zambézia
,Edmundo Bonifácio Gruveta Massamba,Q504564,FRELIMO,Q622803,Zambézia
,Alsácia João Chochoma Sartinha,Q504564,FRELIMO,Q622803,Zambézia
,Paulino Santos Lenço,Q504564,FRELIMO,Q622803,Zambézia
,Damião José,Q504564,FRELIMO,Q622803,Zambézia
,Alice Ana Francisco Xavier Kufa,Q504564,FRELIMO,Q622803,Zambézia
,Deolinda Catarina João Chochoma,Q504564,FRELIMO,Q622803,Zambézia
,Safi Mahomed Reman Gulamo,Q504564,FRELIMO,Q622803,Zambézia
,Caifadine Paulo Manasse,Q504564,FRELIMO,Q622803,Zambézia
,Lúcia José Madeira,Q504564,FRELIMO,Q622803,Zambézia
,Assia Paulo Cipriano Abudo Ali,Q504564,FRELIMO,Q622803,Zambézia
,Josefa Jacinto Musica,Q504564,FRELIMO,Q622803,Zambézia
,Jacinto Gabriel Lourenço Inácio Capito,Q504564,FRELIMO,Q622803,Zambézia
,Sebastião Inácio Saíde,Q504564,FRELIMO,Q622803,Zambézia
,Arlinda Cipriano de Sousa,Q504564,FRELIMO,Q622803,Zambézia
,Zainane Memane Ossumane,Q504564,FRELIMO,Q622803,Zambézia
,João Catemba Chacuamba,Q504564,FRELIMO,Q622803,Zambézia
,Momade Arnaldo Juízo,Q504564,FRELIMO,Q622803,Zambézia
,Aida Maria Soares Gouveia,Q504564,FRELIMO,Q622803,Zambézia
,Zuria Tuaibo Assumane,Q504564,FRELIMO,Q622803,Zambézia
,Carimo Fretas de Oliveira,Q504564,FRELIMO,Q622803,Zambézia
,Sabir José Vasco Maquege,Q504564,FRELIMO,Q622803,Zambézia
,Clarice da Esperança Milato,Q504564,FRELIMO,Q622803,Zambézia
,Eusébio Nanguia Nipite Mulange,Q504564,FRELIMO,Q622803,Zambézia
,Inácia Henriques Carneiro Ngonde,Q504564,FRELIMO,Q622803,Zambézia
,Sábado Alamo Chombe,Q504564,FRELIMO,Q622803,Zambézia
,Elias Gilberto Impuiri,Q668181,MDM,Q622803,Zambézia
,Abdala Ossifo Ibraimo,Q1425821,RENAMO,Q622803,Zambézia
,Viana da Silva Albino Magalhães,Q1425821,RENAMO,Q622803,Zambézia
,Jerónimo Malagueta Nalia,Q1425821,RENAMO,Q622803,Zambézia
,Maria Ivone Rensamo Bernardo Soares,Q1425821,RENAMO,Q622803,Zambézia
,Leopoldo Alfredo Ernesto,Q1425821,RENAMO,Q622803,Zambézia
,Inácio João Reis,Q1425821,RENAMO,Q622803,Zambézia
,Arlindo Arrido Maquival,Q1425821,RENAMO,Q622803,Zambézia
,José Manteigas Gabriel,Q1425821,RENAMO,Q622803,Zambézia
,Victor Viandro Mudivila,Q1425821,RENAMO,Q622803,Zambézia
,Isequiel Molde Gusse,Q1425821,RENAMO,Q622803,Zambézia
,Maria Inês Martins,Q1425821,RENAMO,Q622803,Zambézia
,Maria Joaquina Júlio Inácio,Q1425821,RENAMO,Q622803,Zambézia
,Tomaz Augusto Salomão,Q504564,FRELIMO,Q605787,Tete
,Mércia Licas Castela Viriato,Q504564,FRELIMO,Q605787,Tete
,Matias José Matias Nhongo,Q504564,FRELIMO,Q605787,Tete
,Luísa André Avelino Cuchamano,Q504564,FRELIMO,Q605787,Tete
,Ana Antónia Henrique Dimitri,Q504564,FRELIMO,Q605787,Tete
,Ângela Catarina Vidigal Fole Marizane,Q504564,FRELIMO,Q605787,Tete
,Manuel Vasconcelos Estrela Manuel Maria,Q504564,FRELIMO,Q605787,Tete
,Nharongue Mário Muringa,Q504564,FRELIMO,Q605787,Tete
,Maria Marta Mateus Fernando,Q504564,FRELIMO,Q605787,Tete
,Maria Inês Ntseka,Q504564,FRELIMO,Q605787,Tete
,Vitória Dias Diogo,Q504564,FRELIMO,Q605787,Tete
,Elvira Pinto Duarte Timana,Q504564,FRELIMO,Q605787,Tete
,Joana Anacleto Vasco,Q504564,FRELIMO,Q605787,Tete
,Adelino Andissene Silveira,Q504564,FRELIMO,Q605787,Tete
,Chrispen Matches,Q504564,FRELIMO,Q605787,Tete
,Joana Júlia Seifana Mucamba Ravia,Q504564,FRELIMO,Q605787,Tete
,Aureliana Otília Filipe Jamisse,Q504564,FRELIMO,Q605787,Tete
,Catarina Olinda Salomão,Q1425821,RENAMO,Q605787,Tete
,Evaristo Tatamo Sixpence,Q1425821,RENAMO,Q605787,Tete
,Francisco Maingue,Q1425821,RENAMO,Q605787,Tete
,Manuel Pereira Zuze Caliquete,Q1425821,RENAMO,Q605787,Tete
,Carlos Agostinho do Rosário,Q504564,FRELIMO,Q622792,Manica
,Amílcar José Hussein,Q504564,FRELIMO,Q622792,Manica
,Ana Armando Chapo,Q504564,FRELIMO,Q622792,Manica
,Francisca Domingos Tomás,Q504564,FRELIMO,Q622792,Manica
,António Joaquim Mainato,Q504564,FRELIMO,Q622792,Manica
,Costa Francisco Chale,Q504564,FRELIMO,Q622792,Manica
,Maria Alice Saize,Q504564,FRELIMO,Q622792,Manica
,Ester Epifánio Plaze,Q504564,FRELIMO,Q622792,Manica
,Carminda da Graça Barata,Q504564,FRELIMO,Q622792,Manica
,António José Amélia,Q504564,FRELIMO,Q622792,Manica
,Vasco David Gaspar,Q504564,FRELIMO,Q622792,Manica
,Abdul Zacarias,Q504564,FRELIMO,Q622792,Manica
,Alexandre Tiago,Q504564,FRELIMO,Q622792,Manica
,Maria Angelina Dique Enoque,Q1425821,RENAMO,Q622792,Manica
,António Eusébio Mulima,Q1425821,RENAMO,Q622792,Manica
,Alfredo Tomás Magumisse,Q1425821,RENAMO,Q622792,Manica
,Alberto João Ferreira,Q1425821,RENAMO,Q622792,Manica
,Sérgio José Camunga Pantie,Q504564,FRELIMO,Q622801,Sofala
,Zezinho Ricardo José,Q504564,FRELIMO,Q622801,Sofala
,Manuel Rodrigo Ramessane,Q504564,FRELIMO,Q622801,Sofala
,Cernilde Amélia Muchanga de Mendonça,Q504564,FRELIMO,Q622801,Sofala
,Daly Assumane Kumanda,Q504564,FRELIMO,Q622801,Sofala
,Agostinho Gomes Chipindula,Q504564,FRELIMO,Q622801,Sofala
,Palma Pinto da Conceição José Maria,Q504564,FRELIMO,Q622801,Sofala
,Isaura António Júlio,Q504564,FRELIMO,Q622801,Sofala
,Zaia Miquitaio Cafumbe Valeta,Q504564,FRELIMO,Q622801,Sofala
,Lina Francisco Fafetine Ofiço,Q504564,FRELIMO,Q622801,Sofala
,Hortência Gaurassue Zacarias Magibire de,Q504564,FRELIMO,Q622801,Sofala
,Domingas Gonçalves José Ferrão,Q504564,FRELIMO,Q622801,Sofala
,Mário da Cruz de Amaral,Q504564,FRELIMO,Q622801,Sofala
,Ana Maria Simante,Q504564,FRELIMO,Q622801,Sofala
,José Domingos Manuel,Q668181,MDM,Q622801,Sofala
,Albano Bulaunde José,Q668181,MDM,Q622801,Sofala
,André Joaquim Magibire,Q1425821,RENAMO,Q622801,Sofala
,Ricardo Joaquim Nguiriche Gerente,Q1425821,RENAMO,Q622801,Sofala
,Elias Macacho Marceta Dhlakama,Q1425821,RENAMO,Q622801,Sofala
,Maria Celeste Mucote Mavungue Cachite,Q1425821,RENAMO,Q622801,Sofala
,Ana Rita Geremias Sithole,Q504564,FRELIMO,Q466547,Inhambane
,Gildo Fortunato Elias Muaga,Q504564,FRELIMO,Q466547,Inhambane
,Dias Julião Letela,Q504564,FRELIMO,Q466547,Inhambane
,Jerónima Agostinho,Q504564,FRELIMO,Q466547,Inhambane
,Carlos Sebastião Chissingue,Q504564,FRELIMO,Q466547,Inhambane
,Filipe Jaime,Q504564,FRELIMO,Q466547,Inhambane
,Joaquina Oreste Siliya,Q504564,FRELIMO,Q466547,Inhambane
,Jovial Setina Mutombene Marengue da Cruz,Q504564,FRELIMO,Q466547,Inhambane
,Margarida José Naiete,Q504564,FRELIMO,Q466547,Inhambane
,Gonçalves Maceda,Q504564,FRELIMO,Q466547,Inhambane
,Hermenegildo Bernardo Devesse,Q504564,FRELIMO,Q466547,Inhambane
,Gania Aly Abdula Mussagy,Q1425821,RENAMO,Q466547,Inhambane
,Carlos Samussone Maiela,Q1425821,RENAMO,Q466547,Inhambane
,Conceita Ernesto Xavier Sortane,Q504564,FRELIMO,Q466526,Gaza
,Nyeleti Brooke Mondlane,Q504564,FRELIMO,Q466526,Gaza
,Daniel João Matavele,Q504564,FRELIMO,Q466526,Gaza
,Hermenegildo Domingos Chiúre,Q504564,FRELIMO,Q466526,Gaza
,Margarida Sebastião Mapandzene Chongo,Q504564,FRELIMO,Q466526,Gaza
,Pedro António Bila,Q504564,FRELIMO,Q466526,Gaza
,Edson da Graça Francisco Macuácua,Q504564,FRELIMO,Q466526,Gaza
,Rogério Ernesto Mboa,Q504564,FRELIMO,Q466526,Gaza
,Ricardina Suia Albano Mazive,Q504564,FRELIMO,Q466526,Gaza
,Matias Filipe Macamo,Q504564,FRELIMO,Q466526,Gaza
,Alves Jordão Zita…,Q504564,FRELIMO,Q466526,Gaza
,Rita Bento Muianga,Q504564,FRELIMO,Q466526,Gaza
,Lúcia Pedro Mafuiane,Q504564,FRELIMO,Q466526,Gaza
,Alberto Francisco Valoi,Q504564,FRELIMO,Q466526,Gaza
,Agostinho Zacarias Vuma,Q504564,FRELIMO,Q466526,Gaza
,Bonito Novunga,Q504564,FRELIMO,Q466526,Gaza
,Laura Fernanda Souto …,Q504564,FRELIMO,Q466526,Gaza
,Brígida Anita Jorge Mathavele,Q504564,FRELIMO,Q466526,Gaza
,Henriqueta Fabião Cuna,Q504564,FRELIMO,Q466526,Gaza
,Mirna Isabel Chibuco,Q504564,FRELIMO,Q466526,Gaza
,Alberto Lives Andela Niquice,Q504564,FRELIMO,Q466526,Gaza
,Glória Ernesto Matuassa,Q504564,FRELIMO,Q466526,Gaza
,Verónica Nataniel Macamo Dlovo,Q504564,FRELIMO,Q379658,Maputo Província
,Carmelita Rita Namashulua,Q504564,FRELIMO,Q379658,Maputo Província
,Elcina Eugénio Marindze,Q504564,FRELIMO,Q379658,Maputo Província
,Cristina Chelene Manhice Sevene,Q504564,FRELIMO,Q379658,Maputo Província
,Abdul Gafur Mamade Hossene Issufo,Q504564,FRELIMO,Q379658,Maputo Província
,Isaltina Maria Campioni Biwi,Q504564,FRELIMO,Q379658,Maputo Província
,Telmina Manuel Paixão Pinho Pereira,Q504564,FRELIMO,Q379658,Maputo Província
,Zacarias João Chivavi,Q504564,FRELIMO,Q379658,Maputo Província
,Faruk Osman,Q504564,FRELIMO,Q379658,Maputo Província
,Osório João Soto,Q504564,FRELIMO,Q379658,Maputo Província
,Valentina Justa Puchar Mtumuke,Q504564,FRELIMO,Q379658,Maputo Província
,Olívia Fernando Matavele,Q504564,FRELIMO,Q379658,Maputo Província
,José Bento Coffe Mutsanhe,Q504564,FRELIMO,Q379658,Maputo Província
,Edson Judite Calisto Nhangumele,Q504564,FRELIMO,Q379658,Maputo Província
,Silvério Pedro Eugénio Samuel,Q668181,MDM,Q379658,Maputo Província
,Clementina Francisco Bomba,Q1425821,RENAMO,Q379658,Maputo Província
,Samuel Eugénio Mandlate,Q1425821,RENAMO,Q379658,Maputo Província
,António Pedro Muchanga,Q1425821,RENAMO,Q379658,Maputo Província
,Mateus Muchacuare Tomo,Q1425821,RENAMO,Q379658,Maputo Província
,José Manuel Samo Gudo,Q1425821,RENAMO,Q379658,Maputo Província
,Esperança Laurinda Francisco Nhiuane Bias,Q504564,FRELIMO,Q3889,Maputo Cidade
,Margarida Manuel Salimo,Q504564,FRELIMO,Q3889,Maputo Cidade
,Flora Enosse José,Q504564,FRELIMO,Q3889,Maputo Cidade
,António Rosário Niquice,Q504564,FRELIMO,Q3889,Maputo Cidade
,Catarinha Mário Dimande,Q504564,FRELIMO,Q3889,Maputo Cidade
,Helena Jacinto Música,Q504564,FRELIMO,Q3889,Maputo Cidade
,Dominic Phiri,Q504564,FRELIMO,Q3889,Maputo Cidade
,Gabriel Xavier da Barca Júnior,Q504564,FRELIMO,Q3889,Maputo Cidade
,Lutero Chimbirombiro Simango,Q668181,MDM,Q3889,Maputo Cidade
,Venâncio António Bila Mondlane,Q1425821,RENAMO,Q3889,Maputo Cidade
,Arlindo Daniel Bila,Q1425821,RENAMO,Q3889,Maputo Cidade
,Hermínio Morais,Q1425821,RENAMO,Q3889,Maputo Cidade
,António Augusto Eduardo Namburete,Q1425821,RENAMO,Q3889,Maputo Cidade
,Jonas Fenias Sitoe,Q504564,FRELIMO,,África
,Ivone Sansão Bila,Q504564,FRELIMO,,Resto do Mundo
