raw,transformed,position
President,President,Q18565665
Prime Minister,Prime Minister,Q30100629
Prime Minister and Minister of Finance and Planning,Prime Minister and Minister of Finance and Planning,
Agriculture,Minister of Agriculture,Q111827908
Agriculture and Fishing,Minister of Agriculture and Fishing,Q111827909
Agriculture and Rural Development,Minister of Agriculture and Rural Development,Q109950131
Armed Forces,Minister of Armed Forces,Q111827910
Civil Service,Minister of Civil Service,Q111827912
Civilian Household Affairs,Minister of Civilian Household Affairs,Q111827913
Culture,Minister of Culture,Q111827915
Culture and Tourism,Minister of Culture and Tourism,Q109949840
"Culture, Youth and Sports","Minister of Culture, Youth and Sports",Q111827950
Defence,Minister of Defence,Q98755271
Development and Planning,Minister of Development and Planning,Q111827951
Economic and Social Affairs,Minister of Economic and Social Affairs,Q111827952
Economy and Finance,Minister of Economy and Finance,Q98755316
Education,Minister of Education,Q111827956
Education and Culture,Minister of Education and Culture,Q51279809
Education and Human Development,Minister of Education and Human Development,Q109950218
Energy,Minister of Energy,Q111827958
Environment,Minister of Environment,Q111827959
Finance,Minister of Finance,Q111827960
Fishing,Minister of Fishing,Q111827961
Foreign Affairs,Minister of Foreign Affairs,Q18345272
Foreign Affairs and Cooperation,Minister of Foreign Affairs and Cooperation,Q111827962
"Gender, Children and Social Welfare","Minister of Gender, Children and Social Welfare",Q109949882
Health,Minister of Health,Q98966133
"Higher Education, Science and Technology","Minister of Higher Education, Science and Technology",Q111827963
Industry and Trade,Minister of Industry and Trade,Q109949809
"Industry, Commerce and Tourism","Minister of Industry, Commerce and Tourism",Q111827965
Interior,Minister of Interior,Q109951016
Interior and Security,Minister of Interior and Security,Q111827967
Justice,Minister of Justice,Q111827968
Justice and Constitutional and Religious Affairs,Minister of Justice and Constitutional and Religious Affairs,Q109950298
Labour,Minister of Labour,Q109950203
"Labour, Employment and Social Security","Minister of Labour, Employment and Social Security",Q111827969
"Land, Environment and Rural Development","Minister of Land, Environment and Rural Development",Q111827970
Mineral Resources,Minister of Mineral Resources,Q111827971
Mineral Resources and Energy,Minister of Mineral Resources and Energy,Q109950037
Parliamantary Affairs,Minister of Parliamantary Affairs,Q111827973
"Parliamentary, Municipal and Provincial Assembly Affairs","Minister of Parliamentary, Municipal and Provincial Assembly Affairs",Q111827974
Planning and Finance,Minister of Planning and Finance,Q111827975
Presidential Affairs,Minister of Presidential Affairs,Q111827976
Public Works and Housing,Minister of Public Works and Housing,Q111827977
"Public Works, Housing and Water Resources","Minister of Public Works, Housing and Water Resources",Q111827978
Science and Technology,Minister of Science and Technology,Q111827979
"Science, Technology, and Higher, Technical and Professional Education","Minister of Science, Technology, and Higher, Technical and Professional Education",Q111827980
Social Affairs,Minister of Social Affairs,Q111827981
Social Matters,Minister of Social Matters,Q111827982
State Administration,Minister of State Administration,Q111827984
State Administration and the Public Service,Minister of State Administration and the Public Service,Q111827987
"The Sea, Inland Waters and Fishing","Minister of The Sea, Inland Waters and Fishing",Q111827988
Tourism,Minister of Tourism,Q111827990
Transport and Communications,Minister of Transport and Communications,Q109950952
Veterans,Minister of Veterans,Q111827991
Veteransâ€™ Affairs,Minister of Veterans Affairs,Q111827992
Women Affairs and Social Welfare,Minister of Women Affairs and Social Welfare,Q111827993
Womens Affairs and Social action,Minister of Womens Affairs and Social Action,Q111827994
Youth and Sports,Minister of Youth and Sports,Q111827996
