item,itemLabel,position,positionLabel,start,end
,Abdurremane Lino de Almeida,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2015-01-15,2016-03-26
,Acucena Xavier Duarte,Q111827981,Minister of Social Affairs,1998-07-07,2000-01-17
Q19834060,Adelaide Anchia Amurane,Q111827974,"Minister of Parliamentary, Municipal and Provincial Assembly Affairs",2010-01-19,2015-01-15
Q19834060,Adelaide Anchia Amurane,Q111827976,Minister of Presidential Affairs,2015-01-15,2019-12-31
Q44275924,Adriano Afonso Maleiane,Q98755316,Minister of Economy and Finance,2015-01-15,2019-12-31
Q18350460,Agostinho Mondlane,Q98755271,Minister of Defence,2014-03-14,2015-01-15
,Agostinho Salvador Mondlane,Q111827988,"Minister of The Sea, Inland Waters and Fishing",2015-01-15,2019-12-31
,Aguiar Real Mazule,Q98755271,Minister of Defence,1994-12-16,2000-01-17
,Aires Bonifacio Aly,Q51279809,Minister of Education and Culture,2005-02-11,2010-01-19
,Aires Bonifacio Aly,Q30100629,Prime Minister,2010-01-19,2012-10-08
,Aiuba Cuereneia,Q111827951,Minister of Development and Planning,2005-02-11,2015-01-15
,Alberto Hawa Januario Nkutumula,Q111827996,Minister of Youth and Sports,2015-01-15,2017-11-23
Q61000406,Alberto Mondlane,Q109951016,Minister of Interior,2010-10-12,2015-01-15
Q34282,Alberto Vaquina,Q30100629,Prime Minister,2012-10-08,2015-01-15
,Alcido Nguenah,Q111827956,Minister of Education,2000-01-17,2005-02-02
Q2832185,Alcinda Abreu,Q111827962,Minister of Foreign Affairs and Cooperation,2005-02-11,2008-03-27
Q2832185,Alcinda Abreu,Q111827959,Minister of Environment,2008-03-27,2015-01-15
,Alexandre Manguele,Q98966133,Minister of Health,2010-10-12,2015-01-15
,Alfredo Damito,Q111827984,Minister of State Administration,1994-12-16,2000-01-17
,Antonio Correia Fernandes Sumbana,Q111827913,Minister of Civilian Household Affairs,2010-01-19,2015-01-15
,Antonio Fernando,Q109949809,Minister of Industry and Trade,2005-02-11,2010-10-12
,Antonio Francisco Munguambe,Q109950952,Minister of Transport and Communications,2005-02-11,2008-03-10
Q5643918,Antonio Hama Thai,Q111827910,Minister of Armed Forces,1987-06-15,2000-01-17
Q5643918,Antonio Hama Thai,Q109950869,Minister of Veterans,2000-02-15,2005-02-02
,Antonio Namburete,Q111827968,Minister of Justice,1998-07-07,2000-01-17
,Armando Artur Joao,Q111827915,Minister of Culture,2010-01-19,2015-01-15
,Armando Inroga,Q109949809,Minister of Industry and Trade,2010-10-12,2015-01-15
,Armirinho da Cruz Marco Manhaze,Q111827967,Minister of Interior and Security,1996-11-08,2005-02-02
,Arnaldo Nhavoto,Q111827956,Minister of Education,1994-12-16,2000-01-17
Q19834890,Atanasio Salvador Ntumuke,Q98755271,Minister of Defence,2015-01-15,2019-12-31
,Augusto Jone,Q111827956,Minister of Education,2012-10-08,2015-01-15
,Aurelio Zilhao,Q98966133,Minister of Health,1994-12-16,2000-01-17
,Bernado Ferraz,Q111827959,Minister of Environment,1994-12-16,2000-01-17
,Cadmiel Muthemba,Q111827961,Minister of Fishing,2000-02-15,2005-02-02
,Cadmiel Muthemba,Q111827961,Minister of Fishing,2005-02-11,2010-01-19
,Cadmiel Muthemba,Q111827977,Minister of Public Works and Housing,2010-01-19,2015-01-15
Q105497841,Carlos Alberto Fortes Mesquita,Q109950952,Minister of Transport and Communications,2015-01-15,2019-12-31
,Carlos Bonete Martinho,Q111827978,"Minister of Public Works, Housing and Water Resources",2015-01-15,2018-05-15
,Carlos Morgado,Q109949809,Minister of Industry and Trade,2000-01-17,2005-02-02
Q19057400,Carlos Rosario,Q111827909,Minister of Agriculture and Fishing,1994-12-16,2000-01-17
Q19057400,Carlos do Rosario,Q30100629,Prime Minister,2015-01-15,2019-12-31
Q19816448,Carmelita Namashulua,Q111827984,Minister of State Administration,2010-01-19,2015-01-15
,Carmelita Rita Namashalua,Q111827987,Minister of State Administration and the Public Service,2015-01-15,2019-12-31
Q25428943,Carvalho Muaria,Q111827990,Minister of Tourism,2012-10-08,2015-01-15
,Castigo Langa,Q109950037,Minister of Mineral Resources and Energy,2000-01-17,2005-02-02
Q62274562,Celso Ismael Correia,Q111827970,"Minister of Land, Environment and Rural Development",2015-01-15,2019-12-31
Q106307313,Cidalia Chauque Oliveira,Q109949882,"Minister of Gender, Children and Social Welfare",2015-01-15,2019-12-31
,Conceita Ernesto Xavier Sortane,Q109950218,Minister of Education and Human Development,2016-11-24,2019-12-31
Q5993938,David Simango,Q111827996,Minister of Youth and Sports,2005-02-11,2010-01-19
Q10272837,Eneias da Conceicao,Q111827952,Minister of Economic and Social Affairs,1994-12-16,2000-01-17
,Erasmo Muhate,Q111827908,Minister of Agriculture,2007-02-27,2015-01-15
Q109950517,Ernesto Max Elias Tonela,Q109949809,Minister of Industry and Trade,2015-01-15,2017-12-12
Q109950517,Ernesto Max Elias Tonela,Q109950037,Minister of Mineral Resources and Energy,2017-12-12,2019-12-31
,Esperanca Alfreda Machavela,Q111827968,Minister of Justice,2005-02-11,2008-03-10
Q5398931,Esperanca Bias,Q111827971,Minister of Mineral Resources,2005-02-11,2015-01-15
,Eusebio Lambo Gumbiwa,Q109950869,Minister of Veterans Affairs,2015-01-15,2019-12-31
,Feliciano Salomao Gundana,Q109950869,Minister of Veterans,2005-02-11,2010-01-19
,Feliciano Salomao Gundana,Q111827982,Minister of Social Matters,2010-01-19,2015-01-15
Q97221887,Felicio Zacarias,Q111827977,Minister of Public Works and Housing,2005-02-11,2010-01-19
,Fernando Sumbane,Q111827990,Minister of Tourism,2000-01-17,2005-02-02
,Fernando Sumbane,Q111827990,Minister of Tourism,2005-02-11,2012-10-08
,Fernando Sumbane,Q111827996,Minister of Youth and Sports,2012-10-08,2015-01-15
Q5448556,Filipe Jacinto Nyusi,Q98755271,Minister of Defence,2008-03-27,2014-03-14
Q63507934,Francisco Caetano Madeira,Q111827973,Minister of Parliamantary Affairs,1994-12-16,2005-02-02
Q63507934,Francisco Caetano Madeira,Q111827973,Minister of Parliamantary Affairs,2005-02-11,2010-01-19
Q5483968,Francisco Songane,Q98966133,Minister of Health,2000-01-17,2005-02-02
,Guilherme Luis Mavila,Q109950203,Minister of Labour,1994-12-16,2000-01-17
,Helder Monteiro,Q109950131,Minister of Agriculture and Rural Development,2000-01-17,2005-02-02
,Helena Saipo,Q109950203,Minister of Labour,2005-02-11,2015-01-15
,Higino Francisco Marrule,Q111827908,Minister of Agriculture,2017-12-12,2019-12-31
Q26995850,Iolanda Cintura,Q111827994,Minister of Womens Affairs and Social Action,2010-01-19,2015-01-15
,Isaque Chande,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2016-03-26,2018-06-13
Q20192117,Jaime Basilio Monteiro,Q109951016,Minister of Interior,2015-01-15,2019-12-31
Q208355,Joaquim Alberto Chissano,Q18565665,President,1987-01-11,2005-02-02
Q97285065,Joaquim Veríssimo,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2018-06-13,2019-12-31
,Joel Libombo,Q111827996,Minister of Youth and Sports,2000-01-17,2005-02-02
,Jorge Penicela Nhambiu,Q111827980,"Minister of Science, Technology, and Higher, Technical and Professional Education",2015-01-15,2019-12-31
,Jose Chichava,Q111827984,Minister of State Administration,2000-01-17,2005-02-02
Q6292485,Jose Ibraimo Abudo,Q111827968,Minister of Justice,2000-01-17,2005-02-02
Q6291941,José Condungua Pacheco,Q109951016,Minister of Interior,2005-02-11,2010-10-12
Q6291941,José Condungua Pacheco,Q111827908,Minister of Agriculture,2010-10-12,2015-01-15
Q6291941,José Condungua Pacheco,Q111827908,Minister of Agriculture,2015-01-15,2017-12-12
Q6291941,José Condungua Pacheco,Q111827962,Minister of Foreign Affairs and Cooperation,2017-12-12,2019-12-31
,João Kachamila,Q109950037,Minister of Mineral Resources and Energy,1994-12-16,2000-01-17
,João Kachamila,Q111827959,Minister of Environment,2000-01-17,2005-02-02
Q109950516,João Osvaldo Machatine,Q111827978,"Minister of Public Works, Housing and Water Resources",2018-05-15,2019-12-31
Q6526096,Leonardo Simao,Q18345272,Minister of Foreign Affairs,1994-12-16,2000-01-17
Q6526096,Leonardo Simao,Q111827962,Minister of Foreign Affairs and Cooperation,2000-01-17,2005-02-02
Q27431338,Leticia Klemens,Q109950037,Minister of Mineral Resources and Energy,2016-09-29,2017-12-12
,Louis Augusto Mutomene Pelembe,Q111827979,Minister of Science and Technology,2012-10-08,2015-01-15
,Lucas Chomera,Q111827984,Minister of State Administration,2005-02-11,2010-01-19
,Luciano Andre de Castro,Q111827959,Minister of Environment,2005-02-11,2008-03-10
,Luis Antonio Ferrao,Q109950218,Minister of Education and Human Development,2015-01-15,2016-11-24
Q236020,Luisa Diogo,Q111827975,Minister of Planning and Finance,2000-01-17,2004-02-17
Q236020,Luisa Diogo,,Prime Minister and Minister of Finance and Planning,2004-02-17,2005-02-02
Q236020,Luisa Diogo,Q30100629,Prime Minister,2005-02-11,2010-01-19
Q6543659,Lídia Brito,Q111827963,"Minister of Higher Education, Science and Technology",2000-01-17,2005-02-02
Q88473923,Manuel Chang,Q111827960,Minister of Finance,2005-02-11,2015-01-15
Q6761049,Maria Benvinda Levy,Q111827968,Minister of Justice,2008-03-27,2015-01-15
,Mario Sevene,Q109950203,Minister of Labour,2000-01-17,2005-02-02
,Mateus Catupa,Q111827950,"Minister of Culture, Youth and Sports",1994-12-16,2000-01-17
,Mateus Oscar Kida,Q109950869,Minister of Veterans,2010-01-19,2015-01-15
Q19958795,Nazira Karimo Vali Abdula,Q98966133,Minister of Health,2015-01-15,2019-12-31
Q27220074,Nyeleti Brooke Mondlane,Q111827996,Minister of Youth and Sports,2017-11-23,2019-12-31
Q58223,Oldemiro Baloi,Q111827965,"Minister of Industry, Commerce and Tourism",1994-12-16,2000-01-17
Q58223,Oldemiro Baloi,Q111827962,Minister of Foreign Affairs and Cooperation,2008-03-27,2015-01-15
Q58223,Oldemiro Baloi,Q111827962,Minister of Foreign Affairs and Cooperation,2015-01-15,2017-12-12
,Pascual Manuel Mucumbi,Q30100629,Prime Minister,1994-12-16,2004-02-17
,Paulo Ivo Garrido,Q98966133,Minister of Health,2005-02-11,2010-10-12
,Paulo Muxango,Q109950952,Minister of Transport and Communications,1994-12-16,2000-01-17
Q7155325,Paulo Zucula,Q109950952,Minister of Transport and Communications,2008-03-27,2015-01-15
,Pedrito Caetano,Q111827996,Minister of Youth and Sports,2010-01-19,2012-10-08
,Pedro Conceicao Couto,Q109950037,Minister of Mineral Resources and Energy,2015-01-15,2016-09-29
,Ragendra Berta de Sousa,Q109949809,Minister of Industry and Trade,2017-12-22,2019-12-31
,Roberto White,Q111827977,Minister of Public Works and Housing,1994-12-16,2005-02-02
Q16733150,Salvador Namburete,Q111827958,Minister of Energy,2005-02-11,2015-01-15
,Silva Armando Dunduru,Q109949840,Minister of Culture and Tourism,2015-01-15,2019-12-31
,Soares Nhaca,Q111827908,Minister of Agriculture,2007-12-11,2010-10-12
,Thomas Salomao,Q111827975,Minister of Planning and Finance,1994-12-16,2000-01-17
,Thomas Salomao,Q109950952,Minister of Transport and Communications,2000-01-17,2005-02-02
Q7811637,Tobias Dai,Q98755271,Minister of Defence,2000-01-17,2005-02-02
Q7811637,Tobias Dai,Q98755271,Minister of Defence,2005-02-11,2008-03-27
,Tomas Mandlate,Q111827908,Minister of Agriculture,2005-02-11,2007-02-27
,Venancio Simao Massingue,Q111827979,Minister of Science and Technology,2005-02-11,2012-10-08
Q97120054,Victor Manuel Borges,Q111827961,Minister of Fishing,2010-01-19,2015-01-15
,Virginia Matabele,Q111827993,Minister of Women Affairs and Social Welfare,2000-01-17,2005-02-02
,Virginia Matabele,Q111827993,Minister of Women Affairs and Social Welfare,2005-02-11,2010-01-19
Q20014463,Vitoria Dias Diogo,Q111827969,"Minister of Labour, Employment and Social Security",2015-01-15,2019-12-31
Q20014463,Vitoria Diogo,Q111827912,Minister of Civil Service,2010-01-19,2015-01-15
,Zeferino Alexandre Martins,Q111827956,Minister of Education,2010-01-19,2012-10-08
